index,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content
2903,Hokuto no Ken,Sakigake!! Cromartie Koukou,Gokusen,Kinnikuman,Battle Royal High School,Tatakae!! Ramenman,JoJo no Kimyou na Bouken (TV),JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Kyou kara Ore wa!!,Osu!! Karate-bu,"Nishizawa, Nobutaka:Director","Ooba, Hideaki:Episode Director","Yamayoshi, Yasuo:Episode Director","Arisako, Toshihiko:Episode Director",Sakigake!! Otokojuku,#2147,#5491,"14,288",8,2,1,"['Nishizawa, Nobutaka', 'Director'], ['Ooba, Hideaki', 'Episode Director'], ['Yamayoshi, Yasuo', 'Episode Director'], ['Arisako, Toshihiko', 'Episode Director']","Type, 
TV","Episodes, 
  34","Status, 
  Finished Airing","Aired, 
  Feb 25, 1988 to Nov 14, 1988","Producers, 
Lantis","Licensors, 
    None found, add some","Studios, 
Toei Animation","Source, 
  Manga","Genres, 
ActionAction,         ComedyComedy","Themes, 
DelinquentsDelinquents,         Martial ArtsMartial Arts,         SchoolSchool","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Adaptation:: /manga/5254/Sakigake_Otokojuku, Sequel:: /anime/4031/Sakigake_Otokojuku_Movie, Other:: /anime/57532/Sakigake_Reiwa_no_Danjuku"
9883,Heisei Tensai Bakabon,,,,,,,,,,"Kimura, Kyotaro:Producer","Shigino, Akira:Director","Mizumoto, Kan:Sound Director","Watanabe, Takashi:Episode Director",Osomatsu-kun (1988),#5444,#7607,"6,389",0,0,0,"['Kimura, Kyotaro', 'Producer'], ['Shigino, Akira', 'Director'], ['Mizumoto, Kan', 'Sound Director'], ['Watanabe, Takashi', 'Episode Director']","Episodes, 
  86","Status, 
  Finished Airing","Aired, 
  Feb 13, 1988 to Dec 30, 1989","Premiered, 
Winter 1988","Licensors, 
Discotek Media","Studios, 
Pierrot","Source, 
  Manga","Genre, 
ComedyComedy","Theme, 
Gag HumorGag Humor","Demographic, 
ShounenShounen","Duration, 
  24 min. per ep.","Rating, 
  G - All Ages","Score, 
6.741 (scored by 15811,581 users)
      


1
          indicates a weighted score.","Adaptation:: /manga/24033/Osomatsu-kun, Alternative version:: /anime/9884/Osomatsu-kun, Character:: /anime/10607/Rerere_no_Tensai_Bakabon, Side story:: /anime/19879/Osomatsu-kun__Suika_no_Hoshi_kara_Konnichiwa_zansu, Sequel:: /anime/31174/Osomatsu-san"
2555,Princess Sara,Lady Lady!!,Perrine Monogatari,Flanders no Inu,,,,,,,"Kusuba, Kouzou:Director","Yamada, Etsuji:Sound Director","Saitou, Hiroshi:Storyboard","Kuroda, Yoshio:Storyboard",Shoukoushi Cedie,#2509,#8670,"4,591",0,0,0,"['Kusuba, Kouzou', 'Director'], ['Yamada, Etsuji', 'Sound Director'], ['Saitou, Hiroshi', 'Storyboard'], ['Kuroda, Yoshio', 'Storyboard']","Type, 
TV","Episodes, 
  43","Status, 
  Finished Airing","Aired, 
  Jan 10, 1988 to Dec 25, 1988","Producers, 
Fuji TV","Licensors, 
    None found, add some","Studios, 
Nippon Animation","Source, 
  Novel","Genres, 
DramaDrama,         Slice of LifeSlice of Life","Theme, 
HistoricalHistorical","Duration, 
  24 min. per ep.","Rating, 
  G - All Ages","Score, 
7.331 (scored by 15071,507 users)
      


1
          indicates a weighted score.",Summary:: /anime/25075/Shoukoushi_Cedie_Specials
3259,,,,,,,,,,,,,,,Lemon Angel (1988),#10518,#11048,"2,095",0,0,0,,"Type, 
TV","Episodes, 
  9","Status, 
  Finished Airing","Aired, 
  Feb 3, 1988 to Mar 30, 1988","Producers, 
Pony Canyon","Licensors, 
    None found, add some","Studios, 
AIC","Source, 
  Unknown","Genre, 
EcchiEcchi","Duration, 
  3 min. per ep.","Rating, 
  R+ - Mild Nudity","Score, 
5.751 (scored by 474474 users)
      


1
          indicates a weighted score.","Ranked, 
  #105182

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Prequel:: /anime/3205/Cream_Lemon__Lemon_Angel, Sequel:: /anime/3264/Lemon_Angel_1988_II"
4427,Hokuto no Ken,Sakigake!! Otokojuku,Jungle no Ouja Tar-chan,Dragon Ball,,,,,,,"Akehi, Masayuki:Director","Yamayoshi, Yasuo:Episode Director","Shirato, Takeshi:Episode Director","Sasaki, Katsutoshi:Episode Director",Tatakae!! Ramenman,#7824,#11787,"1,621",2,0,0,"['Akehi, Masayuki', 'Director'], ['Yamayoshi, Yasuo', 'Episode Director'], ['Shirato, Takeshi', 'Episode Director'], ['Sasaki, Katsutoshi', 'Episode Director']","Type, 
TV","Episodes, 
  35","Status, 
  Finished Airing","Aired, 
  Jan 10, 1988 to Sep 11, 1988","Producers, 
Yomiko Advertising","Licensors, 
    None found, add some","Studios, 
Toei Animation","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure","Theme, 
Martial ArtsMartial Arts","Demographic, 
ShounenShounen","Duration, 
  23 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Adaptation:: /manga/21599/Tatakae_Ramenman, Parent story:: /anime/3272/Kinnikuman, Side story:: /anime/16728/Tatakae_Ramenman_Movie"
8158,,,,,,,,,,,"Kasai, Osamu:Director","Okazaki, Minoru:Episode Director","Shibata, Hiroki:Episode Director","Serikawa, Yuugo:Episode Director",Gegege no Kitarou: Jigoku-hen,#8077,#12666,"1,207",0,0,0,"['Kasai, Osamu', 'Director'], ['Okazaki, Minoru', 'Episode Director'], ['Shibata, Hiroki', 'Episode Director'], ['Serikawa, Yuugo', 'Episode Director']","Episodes, 
  7","Status, 
  Finished Airing","Aired, 
  Feb 8, 1988 to Mar 21, 1988","Premiered, 
Winter 1988","Licensors, 
    None found, add some","Studios, 
Toei Animation","Source, 
  Unknown","Genres, 
AdventureAdventure,         ComedyComedy,         FantasyFantasy,         HorrorHorror,         SupernaturalSupernatural","Duration, 
  25 min. per ep.","Rating, 
  G - All Ages","Score, 
6.271 (scored by 283283 users)
      


1
          indicates a weighted score.","Ranked, 
  #80772

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #12666",Sequel:: /anime/2165/Gegege_no_Kitarou_2007
820,Code Geass: Hangyaku no Lelouch,Monster,Versailles no Bara,Tytania,Death Note,Kenpuu Denki Berserk,Uchuu Senkan Yamato 2199,Mahouka Koukou no Rettousei,Seikai no Monshou,Shingeki no Kyojin: The Final Season,"Ishiguro, Noboru:Director","Aketagawa, Susumu:Sound Director","Motonaga, Keitarou:Episode Director","Shinohara, Toshiya:Episode Director",Ginga Eiyuu Densetsu,#10,#744,"319,980",165,13,10,"['Ishiguro, Noboru', 'Director'], ['Aketagawa, Susumu', 'Sound Director'], ['Motonaga, Keitarou', 'Episode Director'], ['Shinohara, Toshiya', 'Episode Director']","Type, 
OVA","Episodes, 
  110","Status, 
  Finished Airing","Aired, 
  Jan 8, 1988 to Mar 17, 1997","Studios, 
K-Factory,       Kitty Film Mitaka Studio","Source, 
  Novel","Genres, 
DramaDrama,         Sci-FiSci-Fi","Themes, 
Adult CastAdult Cast,         MilitaryMilitary,         SpaceSpace","Duration, 
  26 min. per ep.","Rating, 
  R - 17+ (violence & profanity)","Score, 
9.021 (scored by 7869178,691 users)
      


1
          indicates a weighted score.","Ranked, 
  #102

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #744","Adaptation:: /manga/6978/Ginga_Eiyuu_Densetsu, Prequel:: /anime/3016/Ginga_Eiyuu_Densetsu__Arata_naru_Tatakai_no_Overture, Side story:: /anime/3371/Ginga_Eiyuu_Densetsu_Gaiden, Alternative version:: /anime/31433/Ginga_Eiyuu_Densetsu__Die_Neue_These_-_Kaikou"
3135,Five Star Stories,Sousei Kishi Gaiarth,Kaze no Tani no Nausicaä,Panzer Dragoon,Detonator Orgun,Genmu Senki Leda,,,,,"Kobayashi, Makoto:Director","Kobayashi, Osamu:Storyboard","Ohira, Shinya:Key Animation","Hirano, Toshiki:Character Design",Dragon's Heaven,#8393,#5683,"13,177",3,5,1,"['Kobayashi, Makoto', 'Director'], ['Kobayashi, Osamu', 'Storyboard'], ['Ohira, Shinya', 'Key Animation'], ['Hirano, Toshiki', 'Character Design']","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Feb 25, 1988","Producers, 
Toshiba EMI","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy,         Sci-FiSci-Fi","Theme, 
MechaMecha","Duration, 
  24 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
6.211 (scored by 48844,884 users)
      


1
          indicates a weighted score.","Ranked, 
  #83932

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #5683","Members, 
    13,177",Adaptation:: /manga/123039/Dragons_Heaven
2585,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,,,,,,,,,,"Takahashi, Ryousuke:Director","Urakami, Yasuo:Sound Director","Imanishi, Takashi:Episode Director","Takizawa, Toshifumi:Storyboard",Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots,#3207,#8700,"4,546",1,1,0,"['Takahashi, Ryousuke', 'Director'], ['Urakami, Yasuo', 'Sound Director'], ['Imanishi, Takashi', 'Episode Director'], ['Takizawa, Toshifumi', 'Storyboard']","Type, 
OVA","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Mar 19, 1988","Studios, 
Sunrise","Source, 
  Original","Genres, 
DramaDrama,         Sci-FiSci-Fi","Themes, 
MechaMecha,         MilitaryMilitary","Duration, 
  56 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
7.201 (scored by 19181,918 users)
      


1
          indicates a weighted score.","Ranked, 
  #32072

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #8700",Sequel:: /anime/2582/Soukou_Kihei_Votoms
2780,Jungle no Ouja Tar-chan,Dragon Half,Kill la Kill,Ansatsu Kyoushitsu,,,,,,,"Ashida, Toyoo:Director","Matsuura, Noriyoshi:Sound Director","Koshiba, Junya:Episode Director","Otani, Kow:Music",Kyoufu no Bio Ningen Saishuu Kyoushi,#11513,#8781,"4,443",9,1,1,"['Ashida, Toyoo', 'Director'], ['Matsuura, Noriyoshi', 'Sound Director'], ['Koshiba, Junya', 'Episode Director'], ['Otani, Kow', 'Music']","Type, 
OVA","Episodes, 
  1","Status, 
  Finished Airing","Aired, 
  Feb 6, 1988","Studios, 
J.C.Staff","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         ComedyComedy,         SupernaturalSupernatural","Theme, 
SchoolSchool","Duration, 
  56 min.","Rating, 
  PG-13 - Teens 13 or older","Score, 
5.481 (scored by 17951,795 users)
      


1
          indicates a weighted score.","Ranked, 
  #115132

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #8781",
